Line 1 prediction: class 1, actual: class 1
Line 700 prediction: class 0, actual: class 0
Line 701 prediction: class 1, actual: class 1
Line 702 prediction: class 0, actual: class 0
Line 703 prediction: class 0, actual: class 1
Line 704 prediction: class 0, actual: class 0
Line 705 prediction: class 0, actual: class 0
Line 706 prediction: class 1, actual: class 1
Line 707 prediction: class 0, actual: class 0
Line 708 prediction: class 0, actual: class 0
Line 709 prediction: class 0, actual: class 0
Line 710 prediction: class 0, actual: class 0
Line 711 prediction: class 0, actual: class 0
Line 712 prediction: class 0, actual: class 1
Line 713 prediction: class 1, actual: class 1
Line 714 prediction: class 0, actual: class 0
Line 715 prediction: class 1, actual: class 1
Line 716 prediction: class 0, actual: class 0
Line 717 prediction: class 0, actual: class 1
Line 718 prediction: class 0, actual: class 0
Line 719 prediction: class 1, actual: class 1
Line 720 prediction: class 0, actual: class 0
Line 721 prediction: class 0, actual: class 0
Line 722 prediction: class 0, actual: class 0
Line 723 prediction: class 0, actual: class 1
Line 724 prediction: class 0, actual: class 0
Line 725 prediction: class 0, actual: class 1
Line 726 prediction: class 0, actual: class 0
Line 727 prediction: class 1, actual: class 0
Line 728 prediction: class 0, actual: class 0
Line 729 prediction: class 0, actual: class 1
Line 730 prediction: class 0, actual: class 0
Line 731 prediction: class 0, actual: class 0
Line 732 prediction: class 0, actual: class 0
Line 733 prediction: class 0, actual: class 0
Line 734 prediction: class 0, actual: class 0
Line 735 prediction: class 1, actual: class 1
Line 736 prediction: class 0, actual: class 0
Line 737 prediction: class 0, actual: class 1
Line 738 prediction: class 0, actual: class 0
Line 739 prediction: class 0, actual: class 0
Line 740 prediction: class 0, actual: class 0
Line 741 prediction: class 0, actual: class 1
Line 742 prediction: class 0, actual: class 1
Line 743 prediction: class 0, actual: class 1
Line 744 prediction: class 0, actual: class 0
Line 745 prediction: class 0, actual: class 0
Line 746 prediction: class 1, actual: class 1
Line 747 prediction: class 0, actual: class 0
Line 748 prediction: class 0, actual: class 0
Line 749 prediction: class 0, actual: class 0
Line 750 prediction: class 0, actual: class 0
Line 751 prediction: class 1, actual: class 1
Line 752 prediction: class 1, actual: class 1
Line 753 prediction: class 1, actual: class 1
Line 754 prediction: class 1, actual: class 1
Line 755 prediction: class 0, actual: class 0
Line 756 prediction: class 0, actual: class 1
Line 757 prediction: class 0, actual: class 0
Line 758 prediction: class 0, actual: class 0
Line 759 prediction: class 1, actual: class 1
Line 760 prediction: class 0, actual: class 0
Line 761 prediction: class 0, actual: class 1
Line 762 prediction: class 0, actual: class 0
Line 763 prediction: class 0, actual: class 1
Line 764 prediction: class 0, actual: class 0
Line 765 prediction: class 0, actual: class 0
Line 766 prediction: class 1, actual: class 1
Line 767 prediction: class 0, actual: class 0
Line 768 prediction: class 0, actual: class 0
Line 769 prediction: class 0, actual: class 1
Line 770 prediction: class 1, actual: class 1
Line 771 prediction: class 1, actual: class 1
Line 772 prediction: class 0, actual: class 0
Line 773 prediction: class 0, actual: class 0
Line 774 prediction: class 0, actual: class 0
Line 775 prediction: class 0, actual: class 0
Line 776 prediction: class 1, actual: class 1
Line 777 prediction: class 1, actual: class 1
Line 778 prediction: class 0, actual: class 0
Line 779 prediction: class 0, actual: class 0
Line 780 prediction: class 1, actual: class 1
Line 781 prediction: class 0, actual: class 0
Line 782 prediction: class 0, actual: class 0
Line 783 prediction: class 0, actual: class 1
Line 784 prediction: class 0, actual: class 1
Line 785 prediction: class 0, actual: class 1
Line 786 prediction: class 1, actual: class 1
Line 787 prediction: class 0, actual: class 0
Line 788 prediction: class 0, actual: class 0
Line 789 prediction: class 0, actual: class 0
Line 790 prediction: class 1, actual: class 1
Line 791 prediction: class 1, actual: class 1
Line 792 prediction: class 1, actual: class 1
Line 793 prediction: class 0, actual: class 1
Line 794 prediction: class 0, actual: class 1
Line 795 prediction: class 0, actual: class 0
Line 796 prediction: class 0, actual: class 0
Line 797 prediction: class 0, actual: class 0
Line 798 prediction: class 0, actual: class 0
Line 799 prediction: class 0, actual: class 0
Line 800 prediction: class 0, actual: class 0
Line 801 prediction: class 0, actual: class 1
Line 802 prediction: class 0, actual: class 1
Line 803 prediction: class 0, actual: class 0
Line 804 prediction: class 1, actual: class 1
Line 805 prediction: class 1, actual: class 0
Line 806 prediction: class 0, actual: class 1
Line 807 prediction: class 0, actual: class 0
Line 808 prediction: class 0, actual: class 0
Line 809 prediction: class 0, actual: class 0
Line 810 prediction: class 1, actual: class 1
Line 811 prediction: class 0, actual: class 0
Line 812 prediction: class 1, actual: class 1
Line 813 prediction: class 0, actual: class 0
Line 814 prediction: class 0, actual: class 1
Line 815 prediction: class 0, actual: class 1
Line 816 prediction: class 0, actual: class 0
Line 817 prediction: class 0, actual: class 0
Line 818 prediction: class 0, actual: class 1
Line 819 prediction: class 0, actual: class 0
Line 820 prediction: class 0, actual: class 0
Line 821 prediction: class 0, actual: class 0
Line 822 prediction: class 0, actual: class 0
Line 823 prediction: class 0, actual: class 0
Line 824 prediction: class 1, actual: class 1
Line 825 prediction: class 0, actual: class 0
Line 826 prediction: class 0, actual: class 0
Line 827 prediction: class 0, actual: class 1
Line 828 prediction: class 0, actual: class 0
Line 829 prediction: class 0, actual: class 0
Line 830 prediction: class 0, actual: class 0
Line 831 prediction: class 0, actual: class 0
Line 832 prediction: class 1, actual: class 1
Line 833 prediction: class 1, actual: class 1
Line 834 prediction: class 0, actual: class 1
Line 835 prediction: class 0, actual: class 0
Line 836 prediction: class 0, actual: class 1
Line 837 prediction: class 0, actual: class 0
Line 838 prediction: class 0, actual: class 1
Line 839 prediction: class 1, actual: class 1
Line 840 prediction: class 0, actual: class 0
Line 841 prediction: class 0, actual: class 0
Line 842 prediction: class 0, actual: class 0
Line 843 prediction: class 0, actual: class 1
Line 844 prediction: class 0, actual: class 0
Line 845 prediction: class 1, actual: class 1
Line 846 prediction: class 0, actual: class 1
Line 847 prediction: class 0, actual: class 0
Line 848 prediction: class 0, actual: class 1
Line 849 prediction: class 0, actual: class 1
Line 850 prediction: class 1, actual: class 1
Line 851 prediction: class 0, actual: class 1
Line 852 prediction: class 0, actual: class 0
Line 853 prediction: class 1, actual: class 1
Line 854 prediction: class 0, actual: class 0
Line 855 prediction: class 1, actual: class 1
Line 856 prediction: class 0, actual: class 0
Line 857 prediction: class 0, actual: class 0
Line 858 prediction: class 0, actual: class 0
Line 859 prediction: class 1, actual: class 1
Line 860 prediction: class 0, actual: class 1
Line 861 prediction: class 1, actual: class 1
Line 862 prediction: class 0, actual: class 0
Line 863 prediction: class 1, actual: class 1
Line 864 prediction: class 0, actual: class 0
Line 865 prediction: class 0, actual: class 1
Line 866 prediction: class 0, actual: class 0
Line 867 prediction: class 1, actual: class 1
Line 868 prediction: class 1, actual: class 0
Line 869 prediction: class 1, actual: class 1
Line 870 prediction: class 0, actual: class 0
Line 871 prediction: class 1, actual: class 1
Line 872 prediction: class 0, actual: class 0
Line 873 prediction: class 0, actual: class 0
Line 874 prediction: class 0, actual: class 0
Line 875 prediction: class 0, actual: class 0
Line 876 prediction: class 0, actual: class 0
Line 877 prediction: class 1, actual: class 1
Line 878 prediction: class 0, actual: class 0
Line 879 prediction: class 0, actual: class 0
Line 880 prediction: class 0, actual: class 0
Line 881 prediction: class 1, actual: class 1
Line 882 prediction: class 0, actual: class 0
Line 883 prediction: class 1, actual: class 1
Line 884 prediction: class 0, actual: class 0
Line 885 prediction: class 0, actual: class 1
Line 886 prediction: class 0, actual: class 0
Line 887 prediction: class 1, actual: class 1
Line 888 prediction: class 1, actual: class 1
Line 889 prediction: class 1, actual: class 1
Line 890 prediction: class 0, actual: class 0
Line 891 prediction: class 1, actual: class 1
Line 892 prediction: class 1, actual: class 1
Line 893 prediction: class 0, actual: class 0
Line 894 prediction: class 0, actual: class 0
Line 895 prediction: class 0, actual: class 0
Line 896 prediction: class 0, actual: class 0
Line 897 prediction: class 0, actual: class 0
Line 898 prediction: class 0, actual: class 1
Line 899 prediction: class 0, actual: class 0
Line 900 prediction: class 0, actual: class 0
Line 901 prediction: class 0, actual: class 0
Line 902 prediction: class 0, actual: class 1
Line 903 prediction: class 0, actual: class 1
Line 904 prediction: class 0, actual: class 0
Line 905 prediction: class 0, actual: class 0
Line 906 prediction: class 0, actual: class 0
Line 907 prediction: class 0, actual: class 0
Line 908 prediction: class 0, actual: class 0
Line 909 prediction: class 0, actual: class 1
Line 910 prediction: class 0, actual: class 0
Line 911 prediction: class 0, actual: class 0
Line 912 prediction: class 0, actual: class 0
Line 913 prediction: class 1, actual: class 1
Line 914 prediction: class 0, actual: class 1
Line 915 prediction: class 0, actual: class 1
Line 916 prediction: class 0, actual: class 0
Line 917 prediction: class 0, actual: class 0
Line 918 prediction: class 1, actual: class 1
Line 919 prediction: class 0, actual: class 1
Line 920 prediction: class 0, actual: class 0
Line 921 prediction: class 1, actual: class 0
Line 922 prediction: class 0, actual: class 1
Line 923 prediction: class 1, actual: class 1
Line 924 prediction: class 0, actual: class 0
Line 925 prediction: class 0, actual: class 0
Line 926 prediction: class 1, actual: class 1
Line 927 prediction: class 1, actual: class 1
Line 928 prediction: class 0, actual: class 1
Line 929 prediction: class 0, actual: class 0
Line 930 prediction: class 0, actual: class 0
Line 931 prediction: class 0, actual: class 0
Line 932 prediction: class 0, actual: class 0
Line 933 prediction: class 0, actual: class 0
Line 934 prediction: class 0, actual: class 0
Line 935 prediction: class 1, actual: class 1
Line 936 prediction: class 0, actual: class 0
Line 937 prediction: class 0, actual: class 0
Line 938 prediction: class 0, actual: class 1
Line 939 prediction: class 1, actual: class 1
Line 940 prediction: class 0, actual: class 0
Line 941 prediction: class 0, actual: class 0
Line 942 prediction: class 0, actual: class 0
Line 943 prediction: class 0, actual: class 0
Line 944 prediction: class 0, actual: class 1
Line 945 prediction: class 0, actual: class 0
Line 946 prediction: class 0, actual: class 0
Line 947 prediction: class 0, actual: class 0
Line 948 prediction: class 0, actual: class 0
Line 949 prediction: class 0, actual: class 0
Line 950 prediction: class 0, actual: class 1
Line 951 prediction: class 0, actual: class 0
Line 952 prediction: class 0, actual: class 0
Line 953 prediction: class 0, actual: class 0
Line 954 prediction: class 1, actual: class 1
Line 955 prediction: class 0, actual: class 0
Line 956 prediction: class 1, actual: class 1
Line 957 prediction: class 0, actual: class 1
Line 958 prediction: class 0, actual: class 1
Line 959 prediction: class 0, actual: class 0
Line 960 prediction: class 0, actual: class 0
Line 961 prediction: class 0, actual: class 0
Line 962 prediction: class 0, actual: class 1
Line 963 prediction: class 0, actual: class 0
Line 964 prediction: class 0, actual: class 0
Line 965 prediction: class 0, actual: class 0
Line 966 prediction: class 1, actual: class 1
Line 967 prediction: class 0, actual: class 0
Line 968 prediction: class 0, actual: class 1
Line 969 prediction: class 0, actual: class 0
Line 970 prediction: class 0, actual: class 0
Line 971 prediction: class 1, actual: class 1
Line 972 prediction: class 0, actual: class 0
Line 973 prediction: class 1, actual: class 1
Line 974 prediction: class 0, actual: class 0
Line 975 prediction: class 0, actual: class 1
Line 976 prediction: class 0, actual: class 0
Line 977 prediction: class 0, actual: class 0
Line 978 prediction: class 1, actual: class 1
Line 979 prediction: class 0, actual: class 1
Line 980 prediction: class 0, actual: class 0
Line 981 prediction: class 0, actual: class 0
Line 982 prediction: class 0, actual: class 0
Line 983 prediction: class 0, actual: class 1
Line 984 prediction: class 1, actual: class 1
Line 985 prediction: class 1, actual: class 1
Line 986 prediction: class 0, actual: class 1
Line 987 prediction: class 0, actual: class 0
Line 988 prediction: class 1, actual: class 1
Line 989 prediction: class 0, actual: class 0
Line 990 prediction: class 1, actual: class 1
Line 991 prediction: class 0, actual: class 0
Line 992 prediction: class 1, actual: class 1
Line 993 prediction: class 1, actual: class 1
Line 994 prediction: class 0, actual: class 1
Line 995 prediction: class 0, actual: class 0
Line 996 prediction: class 0, actual: class 0
Line 997 prediction: class 0, actual: class 0
Line 998 prediction: class 0, actual: class 1
Line 999 prediction: class 0, actual: class 1
Line 1000 prediction: class 1, actual: class 1
Line 1001 prediction: class 0, actual: class 0
Line 1002 prediction: class 0, actual: class 1
Line 1003 prediction: class 0, actual: class 0
Line 1004 prediction: class 1, actual: class 1
Line 1005 prediction: class 0, actual: class 0
Line 1006 prediction: class 0, actual: class 0
Line 1007 prediction: class 0, actual: class 0
Line 1008 prediction: class 0, actual: class 0
Line 1009 prediction: class 0, actual: class 1
Line 1010 prediction: class 0, actual: class 1
Line 1011 prediction: class 0, actual: class 0
Line 1012 prediction: class 0, actual: class 0
Line 1013 prediction: class 0, actual: class 1
Line 1014 prediction: class 0, actual: class 1
Line 1015 prediction: class 0, actual: class 0
Line 1016 prediction: class 0, actual: class 0
Line 1017 prediction: class 0, actual: class 0
Line 1018 prediction: class 1, actual: class 1
Line 1019 prediction: class 0, actual: class 0
Line 1020 prediction: class 1, actual: class 0
Line 1021 prediction: class 0, actual: class 0
Line 1022 prediction: class 0, actual: class 0
Line 1023 prediction: class 1, actual: class 1
Line 1024 prediction: class 0, actual: class 0
Line 1025 prediction: class 0, actual: class 0
Line 1026 prediction: class 0, actual: class 0
Line 1027 prediction: class 0, actual: class 0
Line 1028 prediction: class 1, actual: class 1
Line 1029 prediction: class 1, actual: class 1
Line 1030 prediction: class 1, actual: class 0
Line 1031 prediction: class 0, actual: class 0
Line 1032 prediction: class 1, actual: class 1
Line 1033 prediction: class 0, actual: class 0
Line 1034 prediction: class 0, actual: class 0
Line 1035 prediction: class 0, actual: class 0
Line 1036 prediction: class 0, actual: class 0
Line 1037 prediction: class 0, actual: class 0
Line 1038 prediction: class 0, actual: class 1
Line 1039 prediction: class 0, actual: class 0
Line 1040 prediction: class 1, actual: class 1
Line 1041 prediction: class 0, actual: class 0
Line 1042 prediction: class 0, actual: class 0
Line 1043 prediction: class 1, actual: class 1
Line 1044 prediction: class 0, actual: class 0
Line 1045 prediction: class 0, actual: class 1
Line 1046 prediction: class 0, actual: class 0
Line 1047 prediction: class 0, actual: class 0
Line 1048 prediction: class 0, actual: class 0
Line 1049 prediction: class 0, actual: class 0
Line 1050 prediction: class 0, actual: class 0
Line 1051 prediction: class 0, actual: class 0
Line 1052 prediction: class 0, actual: class 0
Line 1053 prediction: class 0, actual: class 0
Line 1054 prediction: class 0, actual: class 0
Line 1055 prediction: class 0, actual: class 0
Line 1056 prediction: class 1, actual: class 1
Line 1057 prediction: class 0, actual: class 0
Line 1058 prediction: class 0, actual: class 0
Line 1059 prediction: class 1, actual: class 1
Line 1060 prediction: class 1, actual: class 0
Line 1061 prediction: class 1, actual: class 1
Line 1062 prediction: class 0, actual: class 0
Line 1063 prediction: class 1, actual: class 1
Line 1064 prediction: class 0, actual: class 0
Line 1065 prediction: class 0, actual: class 0
Line 1066 prediction: class 0, actual: class 1
Line 1067 prediction: class 0, actual: class 0
Line 1068 prediction: class 0, actual: class 0
Line 1069 prediction: class 1, actual: class 1
Line 1070 prediction: class 1, actual: class 1
Line 1071 prediction: class 1, actual: class 0
Line 1072 prediction: class 0, actual: class 0
Line 1073 prediction: class 0, actual: class 0
Line 1074 prediction: class 0, actual: class 1
Line 1075 prediction: class 0, actual: class 0
Line 1076 prediction: class 1, actual: class 1
Line 1077 prediction: class 0, actual: class 0
Line 1078 prediction: class 0, actual: class 0
Line 1079 prediction: class 0, actual: class 0
Line 1080 prediction: class 0, actual: class 0
Line 1081 prediction: class 0, actual: class 0
Line 1082 prediction: class 0, actual: class 0
Line 1083 prediction: class 0, actual: class 0
Line 1084 prediction: class 0, actual: class 1
Line 1085 prediction: class 1, actual: class 0
Line 1086 prediction: class 0, actual: class 1
Line 1087 prediction: class 0, actual: class 0
Line 1088 prediction: class 0, actual: class 0
Line 1089 prediction: class 1, actual: class 1
Line 1090 prediction: class 0, actual: class 0
Line 1091 prediction: class 0, actual: class 0
Line 1092 prediction: class 0, actual: class 0
Line 1093 prediction: class 1, actual: class 1
Line 1094 prediction: class 0, actual: class 0
Line 1095 prediction: class 0, actual: class 0
Line 1096 prediction: class 1, actual: class 1
Line 1097 prediction: class 0, actual: class 1
Line 1098 prediction: class 0, actual: class 0
Line 1099 prediction: class 0, actual: class 0
Line 1100 prediction: class 0, actual: class 1
Line 1101 prediction: class 0, actual: class 1
Line 1102 prediction: class 0, actual: class 1
Line 1103 prediction: class 0, actual: class 0
Line 1104 prediction: class 1, actual: class 1
Line 1105 prediction: class 0, actual: class 0
Line 1106 prediction: class 0, actual: class 0
Line 1107 prediction: class 0, actual: class 0
Line 1108 prediction: class 0, actual: class 0
Line 1109 prediction: class 1, actual: class 1
Line 1110 prediction: class 0, actual: class 0
Line 1111 prediction: class 0, actual: class 0
Line 1112 prediction: class 0, actual: class 0
Line 1113 prediction: class 0, actual: class 1
Line 1114 prediction: class 0, actual: class 1
Line 1115 prediction: class 0, actual: class 0
Line 1116 prediction: class 0, actual: class 0
Line 1117 prediction: class 0, actual: class 0
Line 1118 prediction: class 0, actual: class 0
Line 1119 prediction: class 0, actual: class 0
Line 1120 prediction: class 0, actual: class 1
Line 1121 prediction: class 0, actual: class 0
Line 1122 prediction: class 0, actual: class 0
Line 1123 prediction: class 0, actual: class 0
Line 1124 prediction: class 0, actual: class 1
Line 1125 prediction: class 0, actual: class 0
Line 1126 prediction: class 0, actual: class 0
Line 1127 prediction: class 0, actual: class 0
Line 1128 prediction: class 0, actual: class 0
Line 1129 prediction: class 0, actual: class 0

Yes 431 : No 698
AN = Actual No,
AY = Actual Yes,
PN = Predicted No,
PY = Predicted Yes
   PN PY
AN 678 20
AY 210 221
